category_id,category_name,sub_cat1,sub_cat2,sub_cat3
63,Electronics|Mobiles&Accessories|MobileAccessories|Chargers|WallChargers,Electronics,Mobiles_Accessories,WallChargers
64,"Computers&Accessories|Printers,Inks&Accessories|Printers",Computers_Accessories,Printers_Inks_Accessories,Printers
65,Electronics|Cameras&Photography|Accessories|Tripods&Monopods|TripodLegs,Electronics,Cameras_Photography,TripodLegs
66,Computers&Accessories|Accessories&Peripherals|HardDiskBags,Computers_Accessories,Accessories_Peripherals,HardDiskBags
67,Electronics|PowerAccessories|SurgeProtectors,Electronics,PowerAccessories,SurgeProtectors
68,Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|Webcams&VoIPEquipment|Webcams,Computers_Accessories,Accessories_Peripherals,Webcams
69,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|VacuumSealers,Home_Kitchen,Kitchen_HomeAppliances,VacuumSealers
70,Electronics|HomeAudio|Accessories|Adapters,Electronics,HomeAudio,Adapters
71,"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|FanHeaters",Home_Kitchen,Heating_Cooling_AirQuality,FanHeaters
72,Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterFilters&Purifiers,Home_Kitchen,Kitchen_HomeAppliances,WaterFilters_Purifiers
73,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandBlenders,Home_Kitchen,Kitchen_HomeAppliances,HandBlenders
74,Computers&Accessories|Accessories&Peripherals|PCGamingPeripherals|GamingMice,Computers_Accessories,Accessories_Peripherals,GamingMice
75,Electronics|Mobiles&Accessories|MobileAccessories|StylusPens,Electronics,Mobiles_Accessories,StylusPens
76,Computers&Accessories|Accessories&Peripherals|TabletAccessories|ScreenProtectors,Computers_Accessories,Accessories_Peripherals,ScreenProtectors
77,Toys&Games|Arts&Crafts|Drawing&PaintingSupplies|ColouringPens&Markers,Toys_Games,Arts_Crafts,ColouringPens_Markers
78,Computers&Accessories|Accessories&Peripherals|UninterruptedPowerSupplies,Computers_Accessories,Accessories_Peripherals,UninterruptedPowerSupplies
79,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|EggBoilers,Home_Kitchen,Kitchen_HomeAppliances,EggBoilers
80,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandMixers,Home_Kitchen,Kitchen_HomeAppliances,HandMixers
81,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MiceAccessories|DustCovers",Computers_Accessories,Accessories_Peripherals,DustCovers
